"","gene","Freq"
"3","AAK1",4
"4","AAMDC",4
"5","AAMP",4
"6","AANAT",4
"7","AARS1",3
"8","AASDHPPT",4
"9","AASS",4
"10","AATF",4
"13","ABAT",4
"15","ABCA1",4
"16","ABCA12",4
"17","ABCA2",4
"18","ABCA3",4
"19","ABCA4",4
"20","ABCA5",4
"21","ABCA6",4
"22","ABCA8",4
"23","ABCB1",4
"27","ABCB11",4
"28","ABCB4",4
"30","ABCB7",4
"31","ABCB8",4
"32","ABCB9",4
"33","ABCC1",4
"34","ABCC10",4
"35","ABCC2",4
"36","ABCC3",4
"37","ABCC4",4
"38","ABCC5",4
"39","ABCC6",4
"42","ABCC8",4
"43","ABCC9",4
"49","ABCD2",4
"50","ABCD3",4
"51","ABCD4",4
"52","ABCE1",4
"53","ABCF1",4
"54","ABCF2",4
"55","ABCF3",4
"56","ABCG1",4
"57","ABCG2",4
"60","ABHD2",4
"61","ABHD3",4
"62","ABHD5",4
"63","ABI1",4
"64","ABI2",4
"65","ABL1",4
"66","ABL2",4
"67","ABLIM1",4
"68","ABLIM3",4
"69","ABO",4
"70","ABR",4
"71","ABRAXAS2",3
"72","ABTB2",4
"155","AC007319.1",3
"163","AC007389.3",3
"169","AC007823.1",3
"170","AC007876.1",3
"215","AC009283.1",3
"305","AC013486.1",3
"372","AC022613.3",3
"376","AC022929.2",3
"381","AC023421.1",3
"451","AC068870.1",3
"604","AC104407.1",3
"614","AC104836.1",3
"647","AC110619.1",3
"678","AC118549.1",3
"747","AC174065.1",3
"801","ACAA2",4
"802","ACACA",4
"803","ACACB",4
"804","ACADL",4
"805","ACADM",4
"806","ACADS",4
"807","ACADSB",4
"808","ACADVL",4
"809","ACAN",4
"810","ACAP1",4
"811","ACAP2",4
"813","ACAT2",4
"814","ACBD3",4
"815","ACD",4
"817","ACHE",4
"818","ACIN1",4
"819","ACKR1",4
"820","ACKR2",4
"821","ACKR3",4
"822","ACLY",4
"823","ACO1",4
"826","ACOT11",4
"829","ACOT7",4
"831","ACOX1",4
"832","ACOX2",4
"833","ACOX3",4
"834","ACP1",4
"835","ACP2",4
"836","ACP3",3
"837","ACP5",4
"839","ACRV1",4
"840","ACSBG1",4
"841","ACSF2",4
"842","ACSL1",4
"843","ACSL3",4
"844","ACSL4",3
"845","ACSL6",4
"846","ACSM1",4
"849","ACSM3",4
"850","ACSS3",4
"851","ACTA1",4
"856","ACTG1",4
"857","ACTG2",4
"859","ACTL6B",4
"860","ACTL8",4
"861","ACTN1",4
"862","ACTN2",4
"863","ACTN3",4
"864","ACTN4",4
"865","ACTR1A",4
"866","ACTR1B",4
"867","ACTR2",4
"868","ACTR3",4
"869","ACVR1",4
"870","ACVR1B",4
"871","ACVR2A",4
"872","ACVR2B",4
"873","ACVRL1",4
"875","ACYP1",4
"876","ACYP2",4
"881","ADA",4
"882","ADAM10",4
"883","ADAM11",4
"884","ADAM12",4
"885","ADAM15",4
"886","ADAM17",4
"887","ADAM18",4
"888","ADAM19",4
"889","ADAM2",4
"890","ADAM20",4
"891","ADAM21",4
"893","ADAM22",4
"894","ADAM23",4
"895","ADAM28",4
"899","ADAM7",4
"900","ADAM8",4
"901","ADAM9",4
"902","ADAMDEC1",4
"903","ADAMTS2",4
"904","ADAMTS3",4
"905","ADAMTSL2",4
"906","ADAMTSL3",4
"907","ADAR",4
"908","ADARB1",4
"909","ADCY1",4
"910","ADCY10",4
"911","ADCY2",4
"912","ADCY3",4
"915","ADCY8",4
"916","ADCY9",4
"917","ADCYAP1",4
"918","ADCYAP1R1",4
"919","ADD1",4
"920","ADD2",4
"921","ADD3",4
"922","ADD3-AS1",4
"923","ADGRA3",4
"924","ADGRB1",4
"925","ADGRB2",4
"926","ADGRB3",4
"927","ADGRE1",4
"928","ADGRE2",4
"929","ADGRE5",4
"931","ADGRG1",4
"932","ADGRG2",4
"933","ADGRG6",4
"934","ADGRL1",4
"935","ADGRL2",4
"936","ADGRL3",4
"937","ADH1A",4
"938","ADH1B",4
"939","ADH1C",4
"940","ADH5",4
"941","ADH6",4
"942","ADH7",4
"943","ADIPOQ",4
"944","ADIPOR2",4
"947","ADK",4
"948","ADM",4
