"","gene","Freq"
"3","AAK1",7
"4","AAMDC",6
"5","AAMP",6
"6","AANAT",6
"8","AASDHPPT",7
"9","AASS",6
"10","AATF",6
"13","ABAT",7
"15","ABCA1",7
"16","ABCA12",6
"17","ABCA2",6
"18","ABCA3",6
"19","ABCA4",6
"20","ABCA5",7
"21","ABCA6",6
"22","ABCA8",6
"23","ABCB1",6
"28","ABCB4",7
"30","ABCB7",7
"31","ABCB8",6
"32","ABCB9",7
"33","ABCC1",6
"34","ABCC10",6
"35","ABCC2",6
"36","ABCC3",6
"37","ABCC4",6
"38","ABCC5",7
"39","ABCC6",7
"42","ABCC8",6
"43","ABCC9",6
"49","ABCD2",7
"50","ABCD3",7
"51","ABCD4",7
"52","ABCE1",7
"53","ABCF1",6
"54","ABCF2",7
"55","ABCF3",7
"56","ABCG1",6
"57","ABCG2",6
"60","ABHD2",7
"61","ABHD3",7
"62","ABHD5",6
"63","ABI1",7
"64","ABI2",6
"65","ABL1",7
"66","ABL2",7
"67","ABLIM1",7
"68","ABLIM3",6
"69","ABO",6
"70","ABR",7
"72","ABTB2",6
"802","ACACA",6
"804","ACADL",6
"805","ACADM",7
"807","ACADSB",6
"808","ACADVL",6
"809","ACAN",6
"810","ACAP1",6
"811","ACAP2",7
"813","ACAT2",6
"814","ACBD3",7
"815","ACD",6
"817","ACHE",6
"818","ACIN1",7
"819","ACKR1",6
"820","ACKR2",6
"821","ACKR3",6
"822","ACLY",6
"823","ACO1",7
"826","ACOT11",7
"829","ACOT7",6
"831","ACOX1",7
"832","ACOX2",6
"833","ACOX3",6
"834","ACP1",7
"835","ACP2",6
"837","ACP5",6
"841","ACSF2",6
"842","ACSL1",6
"843","ACSL3",6
"844","ACSL4",6
"845","ACSL6",7
"846","ACSM1",6
"849","ACSM3",7
"850","ACSS3",7
"851","ACTA1",6
"856","ACTG1",7
"857","ACTG2",6
"861","ACTN1",7
"862","ACTN2",6
"863","ACTN3",6
"864","ACTN4",7
"865","ACTR1A",7
"866","ACTR1B",6
"867","ACTR2",6
"868","ACTR3",7
"869","ACVR1",7
"870","ACVR1B",6
"871","ACVR2A",7
"872","ACVR2B",7
"873","ACVRL1",6
"875","ACYP1",7
"876","ACYP2",7
"881","ADA",6
"882","ADAM10",7
"883","ADAM11",6
"884","ADAM12",6
"885","ADAM15",7
"886","ADAM17",6
"888","ADAM19",7
"890","ADAM20",6
"891","ADAM21",7
"893","ADAM22",7
"894","ADAM23",6
"895","ADAM28",6
"899","ADAM7",6
"900","ADAM8",7
"901","ADAM9",7
"902","ADAMDEC1",7
"903","ADAMTS2",6
"904","ADAMTS3",7
"905","ADAMTSL2",6
"906","ADAMTSL3",7
"907","ADAR",6
"908","ADARB1",7
"909","ADCY1",7
"910","ADCY10",6
"911","ADCY2",7
"912","ADCY3",6
"916","ADCY9",7
"917","ADCYAP1",6
"918","ADCYAP1R1",6
"919","ADD1",7
"920","ADD2",7
"921","ADD3",7
"923","ADGRA3",7
"924","ADGRB1",6
"925","ADGRB2",7
"926","ADGRB3",6
"927","ADGRE1",6
"929","ADGRE5",6
"931","ADGRG1",6
"932","ADGRG2",6
"933","ADGRG6",7
"934","ADGRL1",7
"935","ADGRL2",6
"936","ADGRL3",6
"938","ADH1B",6
"939","ADH1C",7
"940","ADH5",7
"941","ADH6",7
"943","ADIPOQ",6
"944","ADIPOR2",7
"947","ADK",7
"948","ADM",6
"949","ADNP",6
"950","ADNP2",6
"951","ADO",7
"952","ADORA1",6
"955","ADORA2B",7
"956","ADORA3",6
"957","ADPRH",7
"958","ADRA1A",6
"959","ADRA1B",6
"961","ADRA2A",6
"962","ADRA2C",6
"963","ADRB1",6
"964","ADRB2",7
"970","AEBP1",6
"977","AFDN",7
"979","AFF1",7
"980","AFF2",6
"981","AFF3",7
"983","AFM",7
"985","AGA",6
"986","AGAP1",6
"987","AGAP2",7
"989","AGFG1",7
"990","AGFG2",7
"991","AGGF1",7
"994","AGL",7
"995","AGO2",6
"997","AGPAT2",6
"998","AGPS",7
"999","AGR2",6
"1000","AGRN",7
"1001","AGRP",6
"1002","AGT",6
"1003","AGTR1",7
"1004","AGTR2",6
"1005","AGXT",6
"1008","AHCY",7
"1009","AHCYL1",6
"1010","AHCYL2",7
"1011","AHDC1",6
"1012","AHNAK",7
"1014","AHR",7
"1015","AHSA1",6
"1017","AHSG",6
"1019","AIFM1",7
"1020","AIM2",7
"1021","AIMP1",6
"1023","AIP",7
"1024","AIPL1",6
"1025","AIRE",6
"1026","AJAP1",6
"1028","AK2",7
"1029","AK4",6
"1030","AKAP1",7
"1031","AKAP10",7
"1032","AKAP11",7
"1033","AKAP12",7
"1034","AKAP13",7
"1035","AKAP17A",6
"1036","AKAP3",7
"1038","AKAP5",6
"1039","AKAP6",7
"1040","AKAP7",6
"1041","AKAP8",6
"1042","AKAP8L",6
"1043","AKAP9",7
"1044","AKIRIN2",6
"1045","AKR1A1",7
"1050","AKR1C1",6
"1052","AKR1C3",6
"1054","AKR1D1",6
"1055","AKR7A2",7
"1058","AKT2",6
"1059","AKT3",7
"1060","AKTIP",6
"1329","ALAD",6
"1330","ALAS1",7
"1331","ALAS2",6
"1332","ALB",6
"1333","ALCAM",6
"1334","ALDH1A1",6
"1335","ALDH1A2",6
"1336","ALDH1A3",7
"1337","ALDH1B1",6
"1338","ALDH1L1",6
"1339","ALDH2",7
"1341","ALDH3A2",6
"1342","ALDH3B1",6
"1344","ALDH4A1",6
"1345","ALDH5A1",7
"1346","ALDH6A1",7
"1347","ALDH7A1",7
"1348","ALDH9A1",6
"1350","ALDOB",6
"1353","ALG13",7
"1354","ALG3",6
"1355","ALG8",7
"1356","ALK",7
"1357","ALKBH1",6
"1358","ALMS1",7
"1362","ALOX12B",6
"1364","ALOX15",6
"1366","ALOX5",7
"1367","ALOX5AP",6
"1369","ALPI",6
"1370","ALPK3",7
"1371","ALPL",6
"1372","ALX1",6
"1375","AMBP",6
"1376","AMD1",7
"1379","AMFR",6
"1382","AMIGO2",7
"1383","AMMECR1",7
"1384","AMOT",7
"1386","AMPD1",6
"1387","AMPD2",6
"1388","AMPD3",7
"1389","AMPH",7
"1398","ANAPC13",6
"1400","ANAPC5",7
"1402","ANGEL1",6
"1403","ANGEL2",7
"1404","ANGPT1",6
"1405","ANGPT2",6
"1406","ANGPTL2",6
"1407","ANGPTL7",6
"1408","ANK1",7
"1409","ANK2",6
"1410","ANK3",7
"1412","ANKLE2",7
"1413","ANKMY2",6
"1415","ANKRD11",7
"1416","ANKRD12",7
"1417","ANKRD17",7
"1419","ANKRD26",6
"1420","ANKRD28",6
"1427","ANKRD46",7
"1428","ANKRD6",6
"1432","ANKS1A",6
"1433","ANKS1B",6
"1434","ANO3",6
"1435","ANOS1",6
"1437","ANP32A",7
"1438","ANP32B",6
"1440","ANP32E",7
"1441","ANPEP",6
"1442","ANXA1",6
"1444","ANXA11",6
"1445","ANXA13",6
"1446","ANXA2",7
"1448","ANXA3",6
"1449","ANXA4",6
"1450","ANXA5",7
"1451","ANXA6",6
"1452","ANXA7",7
"1455","ANXA9",6
"1456","AOAH",7
"1457","AOC1",6
"1458","AOC2",6
"1459","AOC3",7
"1462","AOX1",7
"1536","AP1B1",6
"1537","AP1G1",7
"1539","AP1S1",6
"1540","AP1S2",7
"1541","AP2A2",6
"1542","AP2B1",7
"1543","AP2M1",6
"1544","AP2S1",6
"1545","AP3B1",7
"1546","AP3B2",6
"1547","AP3D1",6
"1548","AP3M2",6
"1549","AP3S1",6
"1550","AP3S2",6
"1551","AP4E1",7
"1552","AP4M1",7
"1553","AP4S1",6
"1554","APBA1",6
"1555","APBA2",6
"1556","APBA3",6
"1557","APBB1",6
"1558","APBB2",6
"1559","APBB3",7
"1560","APC",7
"1561","APC2",7
"1563","APEX1",7
"1564","APEX2",6
"1565","API5",7
"1566","APLNR",6
"1567","APLP1",6
"1568","APLP2",6
"1571","APOB",6
"1573","APOBEC3A",6
"1579","APOBEC3G",7
"1583","APOC3",6
"1586","APOD",6
"1587","APOE",6
"1589","APOH",7
"1590","APOL1",7
"1592","APOOL",7
"1593","APP",6
"1594","APPBP2",7
"1595","APRT",6
"1596","APTX",6
"1597","AQP1",7
"1599","AQP3",6
"1600","AQP4",7
"1601","AQP5",6
"1602","AQP6",6
"1609","AQP9",6
"1610","AQR",7
"1611","AR",6
"1615","ARAP2",7
"1616","ARC",6
"1617","ARCN1",7
"1620","ARF1",7
"1621","ARF3",7
"1622","ARF4",6
"1624","ARF6",7
"1625","ARFGAP2",6
"1626","ARFGAP3",7
"1627","ARFGEF1",7
"1628","ARFGEF2",6
"1629","ARFIP1",7
"1630","ARFIP2",6
"1631","ARFRP1",6
"1634","ARHGAP1",6
"1635","ARHGAP11A",6
"1636","ARHGAP12",7
"1637","ARHGAP19",6
"1638","ARHGAP22",6
"1639","ARHGAP25",7
"1640","ARHGAP26",7
"1642","ARHGAP29",6
"1643","ARHGAP32",7
"1644","ARHGAP33",7
"1645","ARHGAP35",7
"1646","ARHGAP4",6
"1647","ARHGAP44",6
"1650","ARHGAP6",6
"1652","ARHGDIA",7
"1653","ARHGDIB",6
"1654","ARHGEF1",6
"1656","ARHGEF11",7
"1657","ARHGEF12",7
"1658","ARHGEF15",6
"1659","ARHGEF16",6
"1660","ARHGEF17",7
"1661","ARHGEF18",7
"1662","ARHGEF2",7
"1663","ARHGEF4",7
"1664","ARHGEF5",6
"1665","ARHGEF6",7
"1666","ARHGEF7",6
"1667","ARHGEF9",7
"1668","ARID1A",7
"1669","ARID3A",7
"1670","ARID4A",7
"1671","ARID4B",6
"1672","ARID5A",6
"1673","ARID5B",7
"1674","ARIH1",7
"1675","ARIH2",6
"1676","ARL1",7
"1680","ARL3",7
"1684","ARL4C",6
"1685","ARL4D",7
"1686","ARL6IP1",7
"1687","ARL6IP5",7
"1688","ARL8B",7
"1689","ARMC6",7
"1690","ARMC8",7
"1691","ARMCX2",7
"1695","ARNT",6
"1696","ARNT2",7
"1697","ARNTL",7
"1700","ARPC2",6
"1703","ARPC4",6
"1705","ARPC5",7
"1707","ARPP19",7
"1708","ARR3",6
"1709","ARRB2",6
"1710","ARSA",7
"1711","ARSB",7
"1712","ARSD",6
"1720","ART4",7
"1721","ARTN",6
"1722","ARVCF",7
"1723","ASAH1",7
"1725","ASB1",6
"1727","ASB9",6
"1728","ASCC2",6
"1729","ASCC3",6
"1731","ASCL2",6
"1732","ASF1A",7
"1734","ASGR2",6
"1735","ASH2L",7
"1736","ASIC1",6
"1737","ASIC2",7
"1738","ASIC3",6
"1739","ASIP",6
"1741","ASMT",6
"1745","ASPA",6
"1746","ASPH",7
"1748","ASRGL1",6
"1756","ASTN2",7
"1757","ASXL1",6
"1758","ASXL3",6
"1759","ATAD2B",7
"1760","ATF1",6
"1761","ATF2",7
"1762","ATF3",7
"1767","ATF5",6
"1768","ATF6",7
"1769","ATF6B",7
"1772","ATG10",6
"1773","ATG12",7
"1774","ATG13",6
"1775","ATG14",7
"1776","ATG2A",6
"1777","ATG4A",7
"1778","ATG4B",7
"1779","ATG5",7
"1780","ATG7",6
"1783","ATIC",7
"1784","ATM",7
"1785","ATMIN",7
"1786","ATN1",7
"1787","ATOX1",6
"1788","ATP10A",7
"1789","ATP10B",6
"1790","ATP10D",7
"1791","ATP11A",6
"1793","ATP12A",6
"1794","ATP13A3",7
"1795","ATP1A1",7
"1796","ATP1A2",6
"1798","ATP1B1",6
"1799","ATP1B2",6
"1800","ATP1B3",7
"1801","ATP2A1",6
"1802","ATP2A2",7
"1803","ATP2A3",7
"1804","ATP2B1",6
"1805","ATP2B2",6
"1806","ATP2B3",6
"1807","ATP2B4",7
"1808","ATP2C1",7
"1809","ATP2C2",6
"1835","ATP6AP1",6
"1836","ATP6AP2",6
"1837","ATP6V0A1",7
"1838","ATP6V0A2",7
"1839","ATP6V0B",6
"1841","ATP6V0D1",6
"1842","ATP6V0E1",6
"1845","ATP6V1A",7
"1847","ATP6V1B2",6
"1848","ATP6V1C1",7
"1850","ATP6V1D",6
"1851","ATP6V1E1",6
"1853","ATP6V1G1",7
"1856","ATP6V1H",7
"1857","ATP7A",6
"1858","ATP7B",6
"1859","ATP8A1",6
"1860","ATP8A2",7
"1862","ATP8B3",7
"1863","ATP9A",7
"1864","ATP9B",7
"1865","ATPAF2",6
"1866","ATR",6
"1868","ATRN",7
"1869","ATRNL1",7
"1870","ATRX",7
"1871","ATXN1",6
"1872","ATXN10",7
"1873","ATXN2",7
"1874","ATXN2L",7
"1875","ATXN3",7
"1876","ATXN7",6
"1877","ATXN7L1",7
"1878","ATXN7L3B",7
"1879","AUH",6
"1880","AURKA",6
"1881","AURKB",6
"1882","AURKC",6
"1883","AUTS2",7
"1885","AVIL",7
"1886","AVL9",6
"1887","AVP",6
"1888","AVPR1A",6
"1889","AVPR1B",6
"1890","AVPR2",6
"1891","AXIN1",6
"1892","AXL",7
"1895","AZIN1",7
"1897","B2M",7
"1898","B3GALNT1",7
"1900","B3GALT2",7
"1902","B3GALT5",6
"1904","B3GAT3",6
"1905","B3GNT3",6
"1908","B4GALT1",6
"1909","B4GALT2",7
"1910","B4GALT3",7
"1911","B4GALT4",6
"1912","B4GALT5",6
"1913","B4GALT6",6
"1914","B4GAT1",7
"1915","B9D1",6
"1918","BACH1",7
"1919","BAD",6
"1920","BAG1",6
"1921","BAG2",7
"1922","BAG5",6
"1925","BAHD1",7
"1927","BAIAP3",6
"1931","BAMBI",7
"1935","BAP1",6
"1936","BARD1",6
"1937","BARX2",6
"1938","BASP1",6
"1939","BATF",6
"1940","BAX",7
"1941","BAZ1A",6
"1942","BAZ1B",6
"1944","BAZ2B",6
"1945","BBC3",6
"1946","BBIP1",6
"1947","BBOX1",7
"1948","BBS4",6
"1949","BBS9",6
"1950","BBX",6
"1951","BCAM",7
"1954","BCAR3",6
"1955","BCAS1",6
"1956","BCAS2",6
"1957","BCAT1",6
"1958","BCAT2",6
"1959","BCHE",6
"1961","BCKDHB",7
"1962","BCKDK",6
"1963","BCL10",7
"1964","BCL11A",7
"1965","BCL2",7
"1966","BCL2A1",6
"1967","BCL2L1",6
"1968","BCL2L11",7
"1969","BCL2L2",7
"1970","BCL3",6
"1971","BCL6",7
"1972","BCL7A",6
"1973","BCL7B",7
"1974","BCL9",6
"1976","BCLAF1",7
"1984","BCS1L",6
"1985","BDH1",6
"1987","BDNF",6
"1988","BEAN1",6
"1990","BEST1",7
"1991","BET1",7
"1992","BEX4",6
"1993","BFSP1",6
"1996","BGN",7
"1997","BHLHE40",6
"1998","BHMT",7
"1999","BICC1",6
"2000","BICD1",7
"2001","BICD2",7
"2002","BICDL1",6
"2004","BID",7
"2005","BIK",6
"2006","BIN1",7
"2007","BIRC2",7
"2008","BIRC3",7
"2009","BIRC5",7
"2011","BLCAP",6
"2012","BLK",7
"2014","BLMH",7
"2015","BLNK",7
"2018","BLVRA",7
"2019","BLVRB",6
"2020","BLZF1",6
"2022","BMI1",6
"2023","BMP1",6
"2025","BMP2",6
"2026","BMP2K",7
"2027","BMP3",6
"2028","BMP4",6
"2029","BMP5",6
"2030","BMP6",7
"2031","BMP7",6
"2032","BMP8A",6
"2034","BMPR1A",7
"2035","BMPR1B",6
"2036","BMPR2",7
"2037","BMS1",6
"2039","BMX",6
"2040","BNC1",6
"2041","BNIP1",6
"2042","BNIP2",6
"2044","BNIP3L",7
"2049","BOP1",6
"2052","BPGM",7
"2054","BPI",6
"2055","BPTF",7
"2060","BRAF",6
"2062","BRCA1",7
"2063","BRCA2",6
"2064","BRD1",6
"2065","BRD2",7
"2066","BRD3",7
"2068","BRD4",7
"2070","BRD8",7
"2073","BRF1",7
"2074","BRINP1",7
"2075","BRINP2",6
"2076","BRINP3",7
"2077","BRMS1",6
"2078","BRPF1",6
"2080","BRSK2",7
"2081","BRWD1",7
"2083","BSG",7
"2084","BSN",6
"2085","BST1",6
"2086","BST2",7
"2087","BTAF1",6
"2088","BTBD2",7
"2089","BTBD3",6
"2090","BTBD8",6
"2091","BTC",6
"2092","BTD",6
"2103","BTG1",7
"2104","BTG2",7
"2105","BTG3",7
"2106","BTK",6
"2107","BTN1A1",6
"2108","BTN2A1",7
"2109","BTN2A2",7
"2110","BTN3A1",6
"2111","BTN3A2",7
"2112","BTN3A3",7
"2114","BTRC",7
"2115","BUB1",6
"2118","BUB3",6
"2129","BYSL",7
"2130","BZW1",6
"2131","C11orf49",6
"2132","C11orf58",7
"2135","C12orf29",7
"2136","C12orf43",6
"2137","C12orf45",6
"2140","C14orf132",6
"2144","C17orf75",7
"2145","C18orf25",7
"2147","C19orf57",6
"2148","C1D",7
"2149","C1orf105",6
"2150","C1orf112",7
"2151","C1orf21",7
"2152","C1orf216",6
"2157","C1QB",6
"2158","C1QBP",7
"2159","C1QL1",6
"2161","C1R",7
"2162","C1S",6
"2163","C2",6
"2167","C2CD2",7
"2168","C2CD2L",7
"2169","C2CD3",6
"2170","C2CD5",7
"2175","C3AR1",6
"2181","C5",6
"2182","C5orf15",7
"2183","C5orf22",6
"2184","C6",6
"2188","C6orf62",7
"2189","C7",6
"2190","C8A",6
"2192","C8G",6
"2193","C9",6
"2194","C9orf16",6
"2195","CA1",6
"2196","CA11",6
"2197","CA12",7
"2198","CA2",6
"2199","CA3",6
"2200","CA4",6
"2203","CA5B",7
"2205","CA6",6
"2208","CABIN1",6
"2209","CABP1",6
"2210","CACNA1A",6
"2211","CACNA1B",6
"2212","CACNA1C",7
"2215","CACNA1D",6
