"","gene","Freq"
"3","AAK1",7
"4","AAMDC",7
"5","AAMP",7
"6","AANAT",7
"8","AASDHPPT",7
"9","AASS",7
"10","AATF",7
"13","ABAT",7
"15","ABCA1",7
"17","ABCA2",7
"18","ABCA3",7
"19","ABCA4",7
"20","ABCA5",7
"22","ABCA8",7
"23","ABCB1",7
"28","ABCB4",7
"30","ABCB7",7
"31","ABCB8",7
"32","ABCB9",7
"33","ABCC1",7
"34","ABCC10",7
"35","ABCC2",7
"36","ABCC3",7
"37","ABCC4",7
"38","ABCC5",7
"39","ABCC6",7
"42","ABCC8",7
"50","ABCD3",7
"51","ABCD4",7
"52","ABCE1",7
"54","ABCF2",7
"55","ABCF3",7
"56","ABCG1",7
"57","ABCG2",7
"60","ABHD2",7
"61","ABHD3",7
"62","ABHD5",7
"63","ABI1",7
"64","ABI2",7
"65","ABL1",7
"66","ABL2",7
"67","ABLIM1",7
"68","ABLIM3",7
"69","ABO",7
"70","ABR",7
"72","ABTB2",7
"801","ACAA2",7
"802","ACACA",7
"803","ACACB",7
"804","ACADL",7
"805","ACADM",7
"806","ACADS",7
"807","ACADSB",7
"808","ACADVL",7
"809","ACAN",7
"810","ACAP1",7
"811","ACAP2",7
"813","ACAT2",7
"814","ACBD3",7
"815","ACD",7
"818","ACIN1",7
"819","ACKR1",7
"820","ACKR2",7
"821","ACKR3",7
"822","ACLY",7
"823","ACO1",7
"826","ACOT11",7
"829","ACOT7",7
"831","ACOX1",7
"832","ACOX2",7
"833","ACOX3",7
"834","ACP1",7
"835","ACP2",7
"837","ACP5",7
"840","ACSBG1",7
"841","ACSF2",7
"842","ACSL1",7
"843","ACSL3",7
"849","ACSM3",7
"850","ACSS3",7
"856","ACTG1",7
"857","ACTG2",7
"861","ACTN1",7
"862","ACTN2",7
"863","ACTN3",7
"864","ACTN4",7
"865","ACTR1A",7
"866","ACTR1B",7
"867","ACTR2",7
"868","ACTR3",7
"869","ACVR1",7
"870","ACVR1B",7
"871","ACVR2A",7
"872","ACVR2B",7
"873","ACVRL1",7
"875","ACYP1",7
"876","ACYP2",7
"881","ADA",7
"882","ADAM10",7
"883","ADAM11",7
"885","ADAM15",7
"886","ADAM17",7
"888","ADAM19",7
"890","ADAM20",7
"891","ADAM21",7
"893","ADAM22",7
"895","ADAM28",7
"900","ADAM8",7
"901","ADAM9",7
"903","ADAMTS2",7
"905","ADAMTSL2",7
"906","ADAMTSL3",7
"907","ADAR",7
"908","ADARB1",7
"909","ADCY1",7
"911","ADCY2",7
"912","ADCY3",7
"916","ADCY9",7
"918","ADCYAP1R1",7
"919","ADD1",7
"920","ADD2",7
"921","ADD3",7
"923","ADGRA3",7
"924","ADGRB1",7
"925","ADGRB2",7
"927","ADGRE1",7
"929","ADGRE5",7
"931","ADGRG1",7
"932","ADGRG2",7
"933","ADGRG6",7
"934","ADGRL1",7
"935","ADGRL2",7
"936","ADGRL3",7
"938","ADH1B",7
"939","ADH1C",7
"940","ADH5",7
"941","ADH6",7
"944","ADIPOR2",7
"947","ADK",7
"948","ADM",7
"949","ADNP",7
"950","ADNP2",7
"951","ADO",7
"952","ADORA1",7
"955","ADORA2B",7
"956","ADORA3",7
"957","ADPRH",7
"962","ADRA2C",7
"964","ADRB2",7
"970","AEBP1",7
"979","AFF1",7
"980","AFF2",7
"983","AFM",7
"985","AGA",7
"986","AGAP1",7
"987","AGAP2",7
"989","AGFG1",7
"990","AGFG2",7
"991","AGGF1",7
"994","AGL",7
"997","AGPAT2",7
"998","AGPS",7
"999","AGR2",7
"1000","AGRN",7
"1001","AGRP",7
"1002","AGT",7
"1003","AGTR1",7
"1005","AGXT",7
"1008","AHCY",7
"1009","AHCYL1",7
"1010","AHCYL2",7
"1011","AHDC1",7
"1012","AHNAK",7
"1014","AHR",7
"1015","AHSA1",7
"1017","AHSG",7
"1019","AIFM1",7
"1020","AIM2",7
"1021","AIMP1",7
"1023","AIP",7
"1025","AIRE",7
"1026","AJAP1",7
"1027","AK1",7
"1028","AK2",7
"1030","AKAP1",7
"1031","AKAP10",7
"1032","AKAP11",7
"1033","AKAP12",7
"1034","AKAP13",7
"1036","AKAP3",7
"1039","AKAP6",7
"1040","AKAP7",7
"1041","AKAP8",7
"1042","AKAP8L",7
"1043","AKAP9",7
"1045","AKR1A1",7
"1050","AKR1C1",7
"1052","AKR1C3",7
"1055","AKR7A2",7
"1058","AKT2",7
"1059","AKT3",7
"1060","AKTIP",7
"1329","ALAD",7
"1330","ALAS1",7
"1331","ALAS2",7
"1332","ALB",7
"1333","ALCAM",7
"1334","ALDH1A1",7
"1335","ALDH1A2",7
"1336","ALDH1A3",7
"1337","ALDH1B1",7
"1338","ALDH1L1",7
"1339","ALDH2",7
"1341","ALDH3A2",7
"1342","ALDH3B1",7
"1344","ALDH4A1",7
"1345","ALDH5A1",7
"1346","ALDH6A1",7
"1347","ALDH7A1",7
"1348","ALDH9A1",7
"1350","ALDOB",7
"1353","ALG13",7
"1354","ALG3",7
"1355","ALG8",7
"1356","ALK",7
"1357","ALKBH1",7
"1358","ALMS1",7
"1362","ALOX12B",7
"1366","ALOX5",7
"1367","ALOX5AP",7
"1369","ALPI",7
"1370","ALPK3",7
"1371","ALPL",7
"1372","ALX1",7
"1375","AMBP",7
"1376","AMD1",7
"1379","AMFR",7
"1382","AMIGO2",7
"1383","AMMECR1",7
"1384","AMOT",7
"1387","AMPD2",7
"1388","AMPD3",7
"1389","AMPH",7
"1398","ANAPC13",7
"1400","ANAPC5",7
"1402","ANGEL1",7
"1403","ANGEL2",7
"1404","ANGPT1",7
"1406","ANGPTL2",7
"1407","ANGPTL7",7
"1408","ANK1",7
"1409","ANK2",7
"1410","ANK3",7
"1412","ANKLE2",7
"1413","ANKMY2",7
"1415","ANKRD11",7
"1416","ANKRD12",7
"1417","ANKRD17",7
"1419","ANKRD26",7
"1420","ANKRD28",7
"1427","ANKRD46",7
"1428","ANKRD6",7
"1432","ANKS1A",7
"1435","ANOS1",7
"1437","ANP32A",7
"1438","ANP32B",7
"1440","ANP32E",7
"1441","ANPEP",7
"1442","ANXA1",7
"1444","ANXA11",7
"1445","ANXA13",7
"1446","ANXA2",7
"1448","ANXA3",7
"1449","ANXA4",7
"1450","ANXA5",7
"1451","ANXA6",7
"1452","ANXA7",7
"1455","ANXA9",7
"1456","AOAH",7
"1457","AOC1",7
"1458","AOC2",7
"1459","AOC3",7
"1462","AOX1",7
"1536","AP1B1",7
"1537","AP1G1",7
"1539","AP1S1",7
"1540","AP1S2",7
"1541","AP2A2",7
"1542","AP2B1",7
