"","gene","Freq"
"30922","AAK1",7
"30923","AAMDC",7
"30924","AAMP",7
"30925","AANAT",7
"30932","AASDHPPT",7
"30933","AASS",7
"30935","AATF",7
"30938","ABAT",7
"30940","ABCA1",7
"30945","ABCA2",7
"30946","ABCA3",7
"30947","ABCA4",7
"30948","ABCA5",7
"30951","ABCA8",7
"30953","ABCB1",7
"30958","ABCB4",7
"30960","ABCB7",7
"30961","ABCB8",7
"30962","ABCB9",7
"30963","ABCC1",7
"30964","ABCC10",7
"30966","ABCC2",7
"30967","ABCC3",7
"30968","ABCC4",7
"30969","ABCC5",7
"30970","ABCC6",7
"30973","ABCC8",7
"30981","ABCD3",7
"30982","ABCD4",7
"30983","ABCE1",7
"30985","ABCF2",7
"30986","ABCF3",7
"30987","ABCG1",7
"30988","ABCG2",7
"31007","ABHD2",7
"31008","ABHD3",7
"31010","ABHD5",7
"31013","ABI1",7
"31014","ABI2",7
"31018","ABL1",7
"31019","ABL2",7
"31020","ABLIM1",7
"31022","ABLIM3",7
"31023","ABO",7
"31024","ABR",7
"31030","ABTB2",7
"31798","ACAA2",7
"31799","ACACA",7
"31800","ACACB",7
"31804","ACADL",7
"31805","ACADM",7
"31806","ACADS",7
"31807","ACADSB",7
"31808","ACADVL",7
"31809","ACAN",7
"31810","ACAP1",7
"31811","ACAP2",7
"31814","ACAT2",7
"31815","ACBD3",7
"31820","ACD",7
"31826","ACIN1",7
"31827","ACKR1",7
"31828","ACKR2",7
"31829","ACKR3",7
"31831","ACLY",7
"31833","ACO1",7
"31836","ACOT11",7
"31842","ACOT7",7
"31845","ACOX1",7
"31846","ACOX2",7
"31847","ACOX3",7
"31849","ACP1",7
"31850","ACP2",7
"31852","ACP5",7
"31859","ACSBG1",7
"31861","ACSF2",7
"31863","ACSL1",7
"31864","ACSL3",7
"31871","ACSM3",7
"31876","ACSS3",7
"31882","ACTG1",7
"31885","ACTG2",7
"31892","ACTN1",7
"31893","ACTN2",7
"31894","ACTN3",7
"31895","ACTN4",7
"31897","ACTR1A",7
"31898","ACTR1B",7
"31899","ACTR2",7
"31900","ACTR3",7
"31907","ACVR1",7
"31908","ACVR1B",7
"31910","ACVR2A",7
"31911","ACVR2B",7
"31913","ACVRL1",7
"31916","ACYP1",7
"31917","ACYP2",7
"31922","ADA",7
"31925","ADAM10",7
"31926","ADAM11",7
"31928","ADAM15",7
"31929","ADAM17",7
"31931","ADAM19",7
"31934","ADAM20",7
"31936","ADAM21",7
"31938","ADAM22",7
"31940","ADAM28",7
"31949","ADAM8",7
"31950","ADAM9",7
"31962","ADAMTS2",7
"31974","ADAMTSL2",7
"31975","ADAMTSL3",7
"31981","ADAR",7
"31982","ADARB1",7
"31991","ADCY1",7
"31994","ADCY2",7
"31995","ADCY3",7
"32001","ADCY9",7
"32003","ADCYAP1R1",7
"32004","ADD1",7
"32005","ADD2",7
"32006","ADD3",7
"32011","ADGRA3",7
"32012","ADGRB1",7
"32013","ADGRB2",7
"32016","ADGRE1",7
"32020","ADGRE5",7
"32024","ADGRG1",7
"32025","ADGRG2",7
"32029","ADGRG6",7
"32030","ADGRL1",7
"32031","ADGRL2",7
"32032","ADGRL3",7
"32036","ADH1B",7
"32037","ADH1C",7
"32038","ADH5",7
"32039","ADH6",7
"32045","ADIPOR2",7
"32048","ADK",7
"32049","ADM",7
"32052","ADNP",7
"32054","ADNP2",7
"32055","ADO",7
"32056","ADORA1",7
"32059","ADORA2B",7
"32060","ADORA3",7
"32062","ADPRH",7
"32071","ADRA2C",7
"32073","ADRB2",7
"32081","AEBP1",7
"32096","AFF1",7
"32097","AFF2",7
"32102","AFM",7
"32106","AGA",7
"32107","AGAP1",7
"32111","AGAP2",7
"32121","AGFG1",7
"32122","AGFG2",7
"32123","AGGF1",7
"32127","AGL",7
"32135","AGPAT2",7
"32140","AGPS",7
"32141","AGR2",7
"32142","AGRN",7
"32143","AGRP",7
"32144","AGT",7
"32146","AGTR1",7
"32149","AGXT",7
"32153","AHCY",7
"32154","AHCYL1",7
"32155","AHCYL2",7
"32156","AHDC1",7
"32158","AHNAK",7
"32160","AHR",7
"32162","AHSA1",7
"32165","AHSG",7
"32171","AIFM1",7
"32177","AIM2",7
"32178","AIMP1",7
"32180","AIP",7
"32182","AIRE",7
"32184","AJAP1",7
"32186","AK1",7
"32187","AK2",7
"32195","AKAP1",7
"32196","AKAP10",7
"32197","AKAP11",7
"32198","AKAP12",7
"32199","AKAP13",7
"32201","AKAP3",7
"32204","AKAP6",7
"32205","AKAP7",7
"32206","AKAP8",7
"32207","AKAP8L",7
"32208","AKAP9",7
"32213","AKR1A1",7
"32218","AKR1C1",7
"32220","AKR1C3",7
"32224","AKR7A2",7
"32229","AKT2",7
"32230","AKT3",7
"32231","AKTIP",7
"32515","ALAD",7
"32516","ALAS1",7
"32517","ALAS2",7
"32518","ALB",7
"32519","ALCAM",7
"32522","ALDH1A1",7
"32523","ALDH1A2",7
"32524","ALDH1A3",7
"32525","ALDH1B1",7
"32526","ALDH1L1",7
"32530","ALDH2",7
"32532","ALDH3A2",7
"32533","ALDH3B1",7
"32535","ALDH4A1",7
"32536","ALDH5A1",7
"32537","ALDH6A1",7
"32538","ALDH7A1",7
"32540","ALDH9A1",7
"32542","ALDOB",7
"32549","ALG13",7
"32554","ALG3",7
"32557","ALG8",7
"32559","ALK",7
"32560","ALKBH1",7
"32570","ALMS1",7
"32574","ALOX12B",7
"32578","ALOX5",7
"32579","ALOX5AP",7
"32582","ALPI",7
"32585","ALPK3",7
"32586","ALPL",7
