"","gene","Freq"
"16","AAK1",7
"17","AAMDC",7
"18","AAMP",7
"19","AANAT",7
"26","AASDHPPT",7
"27","AASS",7
"29","AATF",7
"32","ABAT",7
"34","ABCA1",7
"39","ABCA2",7
"40","ABCA3",7
"41","ABCA4",7
"42","ABCA5",7
"45","ABCA8",7
"47","ABCB1",7
"52","ABCB4",7
"54","ABCB7",7
"55","ABCB8",7
"56","ABCB9",7
"57","ABCC1",7
"58","ABCC10",7
"60","ABCC2",7
"61","ABCC3",7
"62","ABCC4",7
"63","ABCC5",7
"64","ABCC6",7
"67","ABCC8",7
"75","ABCD3",7
"76","ABCD4",7
"77","ABCE1",7
"79","ABCF2",7
"80","ABCF3",7
"81","ABCG1",7
"82","ABCG2",7
"101","ABHD2",7
"102","ABHD3",7
"104","ABHD5",7
"107","ABI1",7
"108","ABI2",7
"112","ABL1",7
"113","ABL2",7
"114","ABLIM1",7
"116","ABLIM3",7
"117","ABO",7
"118","ABR",7
"124","ABTB2",7
"892","ACAA2",7
"893","ACACA",7
"894","ACACB",7
"898","ACADL",7
"899","ACADM",7
"900","ACADS",7
"901","ACADSB",7
"902","ACADVL",7
"903","ACAN",7
"904","ACAP1",7
"905","ACAP2",7
"908","ACAT2",7
"909","ACBD3",7
"914","ACD",7
"920","ACIN1",7
"921","ACKR1",7
"922","ACKR2",7
"923","ACKR3",7
"925","ACLY",7
"927","ACO1",7
"930","ACOT11",7
"936","ACOT7",7
"939","ACOX1",7
"940","ACOX2",7
"941","ACOX3",7
"943","ACP1",7
"944","ACP2",7
"946","ACP5",7
"953","ACSBG1",7
"955","ACSF2",7
"957","ACSL1",7
"958","ACSL3",7
"965","ACSM3",7
"970","ACSS3",7
"976","ACTG1",7
"979","ACTG2",7
"986","ACTN1",7
"987","ACTN2",7
"988","ACTN3",7
"989","ACTN4",7
"991","ACTR1A",7
"992","ACTR1B",7
"993","ACTR2",7
"994","ACTR3",7
"1001","ACVR1",7
"1002","ACVR1B",7
"1004","ACVR2A",7
"1005","ACVR2B",7
"1007","ACVRL1",7
"1010","ACYP1",7
"1011","ACYP2",7
"1016","ADA",7
"1019","ADAM10",7
"1020","ADAM11",7
"1022","ADAM15",7
"1023","ADAM17",7
"1025","ADAM19",7
"1028","ADAM20",7
"1030","ADAM21",7
"1032","ADAM22",7
"1034","ADAM28",7
"1043","ADAM8",7
"1044","ADAM9",7
"1056","ADAMTS2",7
"1068","ADAMTSL2",7
"1069","ADAMTSL3",7
"1075","ADAR",7
"1076","ADARB1",7
"1085","ADCY1",7
"1088","ADCY2",7
"1089","ADCY3",7
"1095","ADCY9",7
"1097","ADCYAP1R1",7
"1098","ADD1",7
"1099","ADD2",7
"1100","ADD3",7
"1105","ADGRA3",7
"1106","ADGRB1",7
"1107","ADGRB2",7
"1110","ADGRE1",7
"1114","ADGRE5",7
"1118","ADGRG1",7
"1119","ADGRG2",7
"1123","ADGRG6",7
"1124","ADGRL1",7
"1125","ADGRL2",7
"1126","ADGRL3",7
"1130","ADH1B",7
"1131","ADH1C",7
"1132","ADH5",7
"1133","ADH6",7
"1139","ADIPOR2",7
"1142","ADK",7
"1143","ADM",7
"1146","ADNP",7
"1148","ADNP2",7
"1149","ADO",7
"1150","ADORA1",7
"1153","ADORA2B",7
"1154","ADORA3",7
"1156","ADPRH",7
"1165","ADRA2C",7
"1167","ADRB2",7
"1175","AEBP1",7
"1190","AFF1",7
"1191","AFF2",7
"1196","AFM",7
"1200","AGA",7
"1201","AGAP1",7
"1205","AGAP2",7
"1215","AGFG1",7
"1216","AGFG2",7
"1217","AGGF1",7
"1221","AGL",7
"1229","AGPAT2",7
"1234","AGPS",7
"1235","AGR2",7
"1236","AGRN",7
"1237","AGRP",7
"1238","AGT",7
"1240","AGTR1",7
"1243","AGXT",7
"1247","AHCY",7
"1248","AHCYL1",7
"1249","AHCYL2",7
"1250","AHDC1",7
"1252","AHNAK",7
"1254","AHR",7
"1256","AHSA1",7
"1259","AHSG",7
"1265","AIFM1",7
"1271","AIM2",7
"1272","AIMP1",7
"1274","AIP",7
"1276","AIRE",7
"1278","AJAP1",7
"1280","AK1",7
"1281","AK2",7
"1289","AKAP1",7
"1290","AKAP10",7
"1291","AKAP11",7
"1292","AKAP12",7
"1293","AKAP13",7
"1295","AKAP3",7
"1298","AKAP6",7
"1299","AKAP7",7
"1300","AKAP8",7
"1301","AKAP8L",7
"1302","AKAP9",7
"1307","AKR1A1",7
"1312","AKR1C1",7
"1314","AKR1C3",7
"1318","AKR7A2",7
"1323","AKT2",7
"1324","AKT3",7
"1325","AKTIP",7
"1609","ALAD",7
"1610","ALAS1",7
"1611","ALAS2",7
"1612","ALB",7
"1613","ALCAM",7
"1616","ALDH1A1",7
"1617","ALDH1A2",7
"1618","ALDH1A3",7
"1619","ALDH1B1",7
"1620","ALDH1L1",7
"1624","ALDH2",7
"1626","ALDH3A2",7
"1627","ALDH3B1",7
"1629","ALDH4A1",7
"1630","ALDH5A1",7
"1631","ALDH6A1",7
"1632","ALDH7A1",7
"1634","ALDH9A1",7
"1636","ALDOB",7
"1643","ALG13",7
"1648","ALG3",7
"1651","ALG8",7
"1653","ALK",7
"1654","ALKBH1",7
"1664","ALMS1",7
"1668","ALOX12B",7
"1672","ALOX5",7
"1673","ALOX5AP",7
"1676","ALPI",7
"1679","ALPK3",7
"1680","ALPL",7
"1686","ALX1",7
"1692","AMBP",7
"1694","AMD1",7
"1700","AMFR",7
"1704","AMIGO2",7
"1706","AMMECR1",7
"1710","AMOT",7
"1714","AMPD2",7
"1715","AMPD3",7
"1716","AMPH",7
"1730","ANAPC13",7
"1735","ANAPC5",7
"1738","ANGEL1",7
"1739","ANGEL2",7
"1740","ANGPT1",7
"1744","ANGPTL2",7
"1748","ANGPTL7",7
"1750","ANK1",7
"1751","ANK2",7
"1752","ANK3",7
"1762","ANKLE2",7
"1764","ANKMY2",7
"1768","ANKRD11",7
"1769","ANKRD12",7
"1775","ANKRD17",7
"1786","ANKRD26",7
"1788","ANKRD28",7
"1809","ANKRD46",7
"1816","ANKRD6",7
"1823","ANKS1A",7
"1840","ANOS1",7
"1842","ANP32A",7
"1844","ANP32B",7
"1848","ANP32E",7
"1849","ANPEP",7
"1854","ANXA1",7
"1856","ANXA11",7
"1857","ANXA13",7
"1858","ANXA2",7
"1863","ANXA3",7
"1864","ANXA4",7
"1865","ANXA5",7
"1866","ANXA6",7
"1867","ANXA7",7
"1870","ANXA9",7
"1871","AOAH",7
"1873","AOC1",7
"1874","AOC2",7
"1875","AOC3",7
"1878","AOX1",7
"1957","AP1B1",7
"1958","AP1G1",7
"1962","AP1S1",7
"1963","AP1S2",7
"1966","AP2A2",7
"1967","AP2B1",7
"1968","AP2M1",7
"1969","AP2S1",7
"1970","AP3B1",7
"1972","AP3D1",7
"1974","AP3M2",7
"1979","AP4E1",7
"1980","AP4M1",7
"1981","AP4S1",7
"1987","APBA1",7
"1988","APBA2",7
"1989","APBA3",7
"1990","APBB1",7
"1992","APBB2",7
"1993","APBB3",7
"1994","APC",7
"1995","APC2",7
"2002","APEX1",7
"2003","APEX2",7
"2006","API5",7
"2011","APLNR",7
"2012","APLP1",7
"2013","APLP2",7
"2019","APOB",7
"2028","APOBEC3G",7
"2033","APOC3",7
"2036","APOD",7
"2037","APOE",7
"2039","APOH",7
"2040","APOL1",7
"2049","APOOL",7
"2051","APP",7
"2052","APPBP2",7
"2055","APRT",7
"2057","APTX",7
"2058","AQP1",7
"2061","AQP3",7
"2064","AQP5",7
"2065","AQP6",7
"2073","AQP9",7
"2074","AQR",7
"2075","AR",7
"2076","ARAF",7
"2079","ARAP2",7
"2081","ARC",7
"2082","ARCN1",7
"2084","AREL1",7
"2085","ARF1",7
"2086","ARF3",7
"2087","ARF4",7
"2089","ARF6",7
"2091","ARFGAP2",7
"2092","ARFGAP3",7
"2093","ARFGEF1",7
"2094","ARFGEF2",7
"2096","ARFIP1",7
"2097","ARFIP2",7
"2098","ARFRP1",7
"2103","ARHGAP1",7
"2106","ARHGAP12",7
"2110","ARHGAP19",7
"2113","ARHGAP22",7
"2116","ARHGAP25",7
"2117","ARHGAP26",7
"2123","ARHGAP29",7
"2127","ARHGAP32",7
"2128","ARHGAP33",7
"2129","ARHGAP35",7
"2131","ARHGAP4",7
"2134","ARHGAP44",7
"2138","ARHGAP6",7
"2141","ARHGDIA",7
"2142","ARHGDIB",7
"2144","ARHGEF1",7
"2145","ARHGEF10",7
"2147","ARHGEF11",7
"2148","ARHGEF12",7
"2149","ARHGEF15",7
"2150","ARHGEF16",7
"2151","ARHGEF17",7
"2152","ARHGEF18",7
"2154","ARHGEF2",7
"2166","ARHGEF4",7
"2168","ARHGEF5",7
"2169","ARHGEF6",7
"2170","ARHGEF7",7
"2171","ARHGEF9",7
"2172","ARID1A",7
"2175","ARID3A",7
"2177","ARID4A",7
"2178","ARID4B",7
"2179","ARID5A",7
"2180","ARID5B",7
"2181","ARIH1",7
"2182","ARIH2",7
"2184","ARL1",7
"2196","ARL3",7
"2200","ARL4C",7
"2201","ARL4D",7
"2205","ARL6IP1",7
"2207","ARL6IP5",7
"2210","ARL8B",7
"2219","ARMC6",7
"2221","ARMC8",7
"2224","ARMCX2",7
"2233","ARNT",7
"2234","ARNT2",7
"2235","ARNTL",7
"2239","ARPC2",7
"2242","ARPC4",7
"2244","ARPC5",7
"2248","ARPP19",7
"2250","ARR3",7
"2252","ARRB2",7
"2260","ARSA",7
"2261","ARSB",7
"2262","ARSD",7
"2274","ART4",7
"2275","ARTN",7
"2277","ARVCF",7
"2279","ASAH1",7
"2286","ASB1",7
"2299","ASB9",7
"2302","ASCC2",7
"2303","ASCC3",7
"2307","ASF1A",7
"2310","ASGR2",7
"2313","ASH2L",7
"2314","ASIC1",7
