"","gene","Freq"
"3","AAK1",3
"4","AAMDC",3
"5","AAMP",3
"6","AANAT",3
"8","AASDHPPT",3
"9","AASS",3
"10","AATF",3
"13","ABAT",3
"15","ABCA1",3
"16","ABCA12",3
"17","ABCA2",3
"18","ABCA3",3
"19","ABCA4",3
"20","ABCA5",3
"21","ABCA6",3
"22","ABCA8",3
"23","ABCB1",3
"27","ABCB11",3
"28","ABCB4",3
"30","ABCB7",3
"31","ABCB8",3
"32","ABCB9",3
"33","ABCC1",3
"34","ABCC10",3
"35","ABCC2",3
"36","ABCC3",3
"37","ABCC4",3
"38","ABCC5",3
"39","ABCC6",3
"42","ABCC8",3
"43","ABCC9",3
"49","ABCD2",3
"50","ABCD3",3
"51","ABCD4",3
"52","ABCE1",3
"53","ABCF1",3
"54","ABCF2",3
"55","ABCF3",3
"56","ABCG1",3
"57","ABCG2",3
"60","ABHD2",3
"61","ABHD3",3
"62","ABHD5",3
"63","ABI1",3
"64","ABI2",3
"65","ABL1",3
"66","ABL2",3
"67","ABLIM1",3
"68","ABLIM3",3
"69","ABO",3
"70","ABR",3
"72","ABTB2",3
"801","ACAA2",3
"802","ACACA",3
"803","ACACB",3
"804","ACADL",3
"805","ACADM",3
"806","ACADS",3
"807","ACADSB",3
"808","ACADVL",3
"809","ACAN",3
"810","ACAP1",3
"811","ACAP2",3
"813","ACAT2",3
"814","ACBD3",3
"815","ACD",3
"817","ACHE",3
"818","ACIN1",3
"819","ACKR1",3
"820","ACKR2",3
"821","ACKR3",3
"822","ACLY",3
"823","ACO1",3
"826","ACOT11",3
"829","ACOT7",3
"831","ACOX1",3
"832","ACOX2",3
"833","ACOX3",3
"834","ACP1",3
"835","ACP2",3
"837","ACP5",3
"839","ACRV1",3
"840","ACSBG1",3
"841","ACSF2",3
"842","ACSL1",3
"843","ACSL3",3
"845","ACSL6",3
"846","ACSM1",3
"849","ACSM3",3
"850","ACSS3",3
"851","ACTA1",3
"856","ACTG1",3
"857","ACTG2",3
"859","ACTL6B",3
"860","ACTL8",3
"861","ACTN1",3
"862","ACTN2",3
"863","ACTN3",3
"864","ACTN4",3
"865","ACTR1A",3
"866","ACTR1B",3
"867","ACTR2",3
"868","ACTR3",3
"869","ACVR1",3
"870","ACVR1B",3
"871","ACVR2A",3
"872","ACVR2B",3
"873","ACVRL1",3
"875","ACYP1",3
"876","ACYP2",3
"881","ADA",3
"882","ADAM10",3
"883","ADAM11",3
"884","ADAM12",3
"885","ADAM15",3
"886","ADAM17",3
"887","ADAM18",3
"888","ADAM19",3
"889","ADAM2",3
