"","gene","Freq"
"1","A1CF",3
"3","A4GALT",3
"4","A4GNT",3
"5","AAAS",3
"6","AACS",3
"8","AAGAB",3
"9","AAK1",3
"10","AAMDC",3
"11","AAMP",3
"12","AANAT",3
"13","AAR2",3
"15","AASDHPPT",3
"16","AASS",3
"17","AATF",3
"19","ABAT",3
"20","ABCA1",3
"23","ABCA2",3
"24","ABCA3",3
"25","ABCA4",3
"26","ABCA5",3
"28","ABCA7",3
"29","ABCA8",3
"30","ABCB1",3
"32","ABCB4",3
"34","ABCB7",3
"35","ABCB8",3
"36","ABCB9",3
"37","ABCC1",3
"38","ABCC10",3
"39","ABCC2",3
"40","ABCC3",3
"41","ABCC4",3
"42","ABCC5",3
"43","ABCC6",3
"44","ABCC8",3
"48","ABCD3",3
"49","ABCD4",3
"50","ABCE1",3
"51","ABCF1",3
"52","ABCF2",3
"53","ABCF3",3
"54","ABCG1",3
"55","ABCG2",3
"56","ABCG4",3
"58","ABHD10",3
"61","ABHD17B",3
"62","ABHD18",3
"63","ABHD2",3
"64","ABHD3",3
"65","ABHD4",3
"66","ABHD5",3
"67","ABHD6",3
"69","ABI1",3
"70","ABI2",3
"71","ABL1",3
"72","ABL2",3
"73","ABLIM1",3
"74","ABLIM3",3
"75","ABO",3
"76","ABR",3
"77","ABT1",3
"78","ABTB2",3
"80","ACAA2",3
"81","ACACA",3
"82","ACACB",3
"83","ACAD10",3
"84","ACAD8",3
"85","ACADL",3
"86","ACADM",3
"87","ACADS",3
"88","ACADSB",3
"89","ACADVL",3
"90","ACAN",3
"91","ACAP1",3
"92","ACAP2",3
"94","ACAT2",3
"95","ACBD3",3
"96","ACBD4",3
"97","ACD",3
"101","ACIN1",3
"102","ACKR1",3
"103","ACKR2",3
"104","ACKR3",3
"105","ACLY",3
"106","ACO1",3
"108","ACOT11",3
"110","ACOT7",3
"112","ACOT9",3
"113","ACOX1",3
"114","ACOX2",3
"115","ACOX3",3
"116","ACP1",3
"117","ACP2",3
"118","ACP5",3
"119","ACP6",3
"121","ACRV1",3
"122","ACSBG1",3
"124","ACSF2",3
"125","ACSL1",3
"126","ACSL3",3
"127","ACSL5",3
"130","ACSM3",3
"132","ACSS3",3
"137","ACTG1",3
"138","ACTG2",3
"140","ACTL6B",3
"141","ACTL7A",3
"142","ACTL7B",3
"143","ACTL8",3
"144","ACTN1",3
"145","ACTN2",3
"146","ACTN3",3
"147","ACTN4",3
"148","ACTR10",3
"149","ACTR1A",3
"150","ACTR1B",3
"151","ACTR2",3
"152","ACTR3",3
"153","ACTR3B",3
"154","ACTR5",3
"155","ACTR6",3
"156","ACTR8",3
"157","ACVR1",3
"158","ACVR1B",3
"159","ACVR2A",3
"160","ACVR2B",3
"161","ACVR2B-AS1",3
"162","ACVRL1",3
"163","ACYP1",3
"164","ACYP2",3
"165","ADA",3
"166","ADAM10",3
"167","ADAM11",3
"169","ADAM15",3
"170","ADAM17",3
"172","ADAM19",3
"174","ADAM20",3
"175","ADAM21",3
"176","ADAM22",3
"178","ADAM28",3
"180","ADAM30",3
"184","ADAM8",3
"185","ADAM9",3
"187","ADAMTS1",3
"188","ADAMTS12",3
"189","ADAMTS13",3
"190","ADAMTS2",3
"192","ADAMTS5",3
"193","ADAMTS6",3
"195","ADAMTSL2",3
"196","ADAMTSL3",3
"197","ADAP1",3
"198","ADAP2",3
"199","ADAR",3
"200","ADARB1",3
"203","ADCK2",3
"205","ADCY1",3
"207","ADCY2",3
"208","ADCY3",3
"212","ADCY9",3
"214","ADCYAP1R1",3
"215","ADD1",3
"216","ADD2",3
"217","ADD3",3
"221","ADGRA3",3
"222","ADGRB1",3
"223","ADGRB2",3
"225","ADGRE1",3
"227","ADGRE3",3
"228","ADGRE5",3
"229","ADGRF1",3
"231","ADGRG1",3
"232","ADGRG2",3
"233","ADGRG3",3
"234","ADGRG6",3
"235","ADGRL1",3
"236","ADGRL2",3
"237","ADGRL3",3
"238","ADGRL4",3
"240","ADH1B",3
"241","ADH1C",3
"242","ADH5",3
"243","ADH6",3
"245","ADI1",3
"247","ADIPOR1",3
"248","ADIPOR2",3
"250","ADK",3
"251","ADM",3
"252","ADM2",3
"253","ADNP",3
"254","ADNP2",3
"255","ADO",3
"256","ADORA1",3
"257","ADORA2B",3
"258","ADORA3",3
"259","ADPGK",3
"260","ADPRH",3
"261","ADPRM",3
"266","ADRA2B",3
"267","ADRA2C",3
"269","ADRB2",3
"270","ADRB3",3
"275","AEBP1",3
"276","AEN",3
"281","AFF1",3
"282","AFF2",3
"284","AFF4",3
"286","AFM",3
"287","AFP",3
"288","AFTPH",3
"289","AGA",3
"290","AGAP1",3
"291","AGAP2",3
"293","AGBL5",3
"294","AGER",3
"295","AGFG1",3
"296","AGFG2",3
"297","AGGF1",3
"298","AGK",3
"299","AGL",3
"301","AGO1",3
"302","AGO3",3
"303","AGO4",3
"305","AGPAT2",3
"306","AGPAT3",3
"307","AGPAT4",3
"308","AGPAT5",3
"309","AGPS",3
"310","AGR2",3
"311","AGRN",3
"312","AGRP",3
"313","AGT",3
"314","AGTPBP1",3
"315","AGTR1",3
"317","AGXT",3
"319","AHCY",3
"320","AHCYL1",3
"321","AHCYL2",3
"322","AHDC1",3
"323","AHI1",3
"324","AHNAK",3
"326","AHR",3
"327","AHSA1",3
"329","AHSG",3
