"","gene","count_T","M_T","SD_T","count_N","M_N","SD_N","study"
"ATM","ATM",3,14.9908345191152,0.0112846904859523,3,14.8918381795879,0.147479486975196,"GSE1009_Glomeruli"
"AC010641.2","AC010641.2",3,14.9908345191152,0.00921391119860767,3,14.8918381795879,0.120416496872223,"GSE1009_Glomeruli"
"LENG8-AS1","LENG8-AS1",3,14.9908345191152,0.00921391119860767,3,14.8918381795879,0.120416496872223,"GSE1009_Glomeruli"
"IFITM3","IFITM3",3,14.6314433010514,0.194987999285621,3,14.8970727633159,0.124312310855025,"GSE1009_Glomeruli"
"IFITM1","IFITM1",3,14.6314433010514,0.194987999285621,3,14.8970727633159,0.124312310855025,"GSE1009_Glomeruli"
"IFITM2","IFITM2",3,14.6314433010514,0.194987999285621,3,14.8970727633159,0.124312310855025,"GSE1009_Glomeruli"
"IFITM3P5","IFITM3P5",3,14.6314433010514,0.194987999285621,3,14.8970727633159,0.124312310855025,"GSE1009_Glomeruli"
"CRISPLD2","CRISPLD2",3,14.6314433010514,0.194987999285621,3,14.8970727633159,0.124312310855025,"GSE1009_Glomeruli"
"IFITM3P9","IFITM3P9",3,14.6314433010514,0.194987999285621,3,14.8970727633159,0.124312310855025,"GSE1009_Glomeruli"
"IFITM3P8","IFITM3P8",3,14.6314433010514,0.194987999285621,3,14.8970727633159,0.124312310855025,"GSE1009_Glomeruli"
"AC006064.4","AC006064.4",3,14.4443923097487,0.114283450538142,3,14.4833260512527,0.0166854713628753,"GSE1009_Glomeruli"
"GAPDH","GAPDH",3,14.4443923097487,0.114283450538142,3,14.4833260512527,0.0166854713628753,"GSE1009_Glomeruli"
"AC091053.1","AC091053.1",3,14.5162678806022,0.0773012418398848,3,14.3646643542312,0.0257862878229569,"GSE1009_Glomeruli"
"DENND2B","DENND2B",3,14.5162678806022,0.0773012418398848,3,14.3646643542312,0.0257862878229569,"GSE1009_Glomeruli"
"EEF1A1","EEF1A1",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"EEF1A1P13","EEF1A1P13",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"EEF1A1P17","EEF1A1P17",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"AC110056.1","AC110056.1",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"EEF1A1P6","EEF1A1P6",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"AC011416.2","AC011416.2",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"EEF1A1P19","EEF1A1P19",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"EEF1A1P3","EEF1A1P3",3,14.2347492412172,0.215599195119744,3,14.5324261572024,0.116817745986141,"GSE1009_Glomeruli"
"HLA-C","HLA-C",3,14.3115045384822,0.0729130158338319,3,14.420719824439,0.141313886840005,"GSE1009_Glomeruli"
