"","gene","count_T","M_T","SD_T","count_N","M_N","SD_N","study"
"RPL37A","RPL37A",17,13.7585048170588,0.105890182212798,21,13.6412697695238,0.132526923400983,"GSE104954_Tubuli"
"RPL13A","RPL13A",17,13.7215753323529,0.163024550265836,21,13.6391744861905,0.136647619764573,"GSE104954_Tubuli"
"RPS11","RPS11",17,13.6792351605882,0.126108470503811,21,13.5581190804762,0.092686696249382,"GSE104954_Tubuli"
"GPX3","GPX3",17,13.4860909370588,0.334370791976964,21,13.7233531980952,0.113414556075651,"GSE104954_Tubuli"
"FTL","FTL",17,13.548027,0.167815638107692,21,13.5209070228571,0.208430963568438,"GSE104954_Tubuli"
"MT1G","MT1G",17,13.3784366941176,0.544627457063148,21,13.8034486161905,0.224213200339606,"GSE104954_Tubuli"
"UBB","UBB",17,13.3539220752941,0.130767573936292,21,13.40878161,0.085305200086155,"GSE104954_Tubuli"
"GAPDH","GAPDH",17,13.3348571470588,0.182896583974156,21,13.3444798219048,0.123398427666747,"GSE104954_Tubuli"
"MT2A","MT2A",17,13.0167329235294,0.401844665080601,21,13.3718751438095,0.299895004261326,"GSE104954_Tubuli"
"LDHB","LDHB",17,13.0508305423529,0.120444484214185,21,13.1060130261905,0.0635336437327058,"GSE104954_Tubuli"
"RPS17","RPS17",17,13.0602910541176,0.243704258107781,21,13.0769295942857,0.151108640935447,"GSE104954_Tubuli"
"RPS24","RPS24",17,13.1131206741176,0.19340162905006,21,12.944705202381,0.14832201981478,"GSE104954_Tubuli"
"NAT8","NAT8",17,12.8584211717647,0.640446851308473,21,12.8078166904762,0.335824313987944,"GSE104954_Tubuli"
"RPS16","RPS16",17,13.0052378152941,0.14362590422914,21,12.8648965471429,0.106143655451405,"GSE104954_Tubuli"
"RPS19","RPS19",17,12.9855684276471,0.314483801359709,21,12.6902179352381,0.170077442550934,"GSE104954_Tubuli"
"ALDOB","ALDOB",17,12.6790972635294,0.737424824994447,21,13.2089197161905,0.109222650603726,"GSE104954_Tubuli"
"RPS6","RPS6",17,12.8450775288235,0.199711155201105,21,12.935111847619,0.114540102463109,"GSE104954_Tubuli"
